id,text,aspect_term,aspect_category,polarity
942,the prices are wonderfully low.,prices,price,positive
,The Thai iced tea was incredibly smooth and delicious!,Thai ice tea,food,positive
2437,amazing!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"The sitting area in the back garden is very pleasant, where you can see your personal herb garden.",personal herb garden,ambience,positive
9,"the waitress, seems to be more concerned of looking good than actually waitressing.",waitress,service,negative
,"Decent Thai food in cute - if a little damp - little Nolita hangout, but terrible service.",service,ambience,conflict
3660,this lovely french-asian fusion restaurant stands out amongst other great restaurants on smith street.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1817,food-awesome.,Food,food,positive
,very popular style izakaya (sake and small portions of sake-friendly dishes).,portion,food,positive
,"Most of the servers are very attentive, friendly and very attractive.",servers,service,positive
3220,here's to the fake fish tanks too...,fish tanks,ambience,negative
544,it is the best hidden spot there and i rave about it to everyone.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"Don't go alone - even two people won't be enough for the whole experience, with pickles and a choice of meat and seafood.",selection of meats and seafoods,food,positive
520,did i mention the wine?,wine,food,neutral
,Never have I ever dined at the restaurant when reading the reviews I took out last week.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1188,"the food is great, service is ok.",service,service,neutral
,"three-sided wine list, one side starter and horedevous.",horedevous,food,positive
3189,the location and ambience is ok but the food is what makes up for it.,food,ambience,neutral
1311,amma is nothing special.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"My husband was perfect, my husband was well made and dry.",food,food,conflict
257,the scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,food,neutral
2919,i have to agree with the previous reviewer.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,Well this place is such a ghetto it's not even fun.,place,ambience,negative
,While the food was good (certainly not Il Mulino) the service was terrible.,service,service,negative
,"The staff was very attentive, the ambience was very nice and the food was excellent.",food,ambience,positive
,Go girl !!!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"The bagels are always warm, soft on the inside, crispy on the outside and enormous.",bagels,food,positive
,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $ 49.",dessert wine,price,positive
2238,i recently tried suan and i thought that it was great.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3472,both times we waited well over a half hour for a table (even though we had reservations).,reservations,service,negative
948,i'm told that it is open 24hrs which is good.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3491,the food is authentic italian - delicious!,food,food,positive
,On the last day of remembrance I tried to make reservations but I was told they were closed this weekend (interesting but ...).,reservations,service,negative
,"ok, for all of us who grew up in the NYC village, we indulged in a variety of restaurants, most of which stay open very late.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,The pizza is good though.,pizza,food,positive
1286,it hits the spot every time,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"deff recimmend bukhara you also opened two new locations, i think i will try them out.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,It's definitely special and affordable.,price,price,positive
,"Don't go alone - two people won't be enough for the whole experience, with pickles and a variety of meat and seafood.",selection of meats and seafoods,food,positive
,"The food wasn't delicious, the portioins were tiny, even for such a high quality restaurant.",portioins,food,negative
,We only ate in the restaurant once but we ordered for dinner many times.,dinner,anecdotes/miscellaneous,neutral
,They are the best bagels I've ever had.,bagels,food,positive
,The salmon is always fresh too.,lox,food,positive
,very good bread too.,breads,food,positive
3295,i must say the view of nyc is so beautiful!,view,ambience,positive
,"After dinner, take your date to the huge dance floor, probably one of the largest you'll see in New York.",dinner,ambience,positive
,There are much better places in New York with better prices.,prices,price,negative
3149,i had to ask her three times before she finally came back with the dish ive requested.,dish,service,negative
2405,great food at reasonable prices.,prices,price,positive
,Even the wine by the glass was good.,wine by the glass,food,positive
5,another great place to take out-of-towners!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
834,a bit breezy up there on the mezzanine from the wind coming from the tracks.,mezzanine,ambience,negative
896,ummm...the beer was cold.,beer,food,positive
,"We have a menu that changes from the back, aside from a specialty or two, the quality and care they put into their food is evident.",specials,food,positive
,We went here for lunch on a Saturday a couple of weeks ago and I was very impressed with the food.,food,food,positive
1301,the food was absolutely horrible!,food,food,negative
294,three strikes and this restaurant is out.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"However, I think this place is a good meeting point.",spot,ambience,positive
467,a word to the wise - the hoboken health inspector clued me to his findings that this is the cleanest restaurant in town.,ambience,ambience,positive
,"it melted in my little mouth and the perfect consistency - not too fishy, ​​creamy and slightly buttery.",food,food,positive
3282,the grilled cheese at home afterwards was better.!!,grilled cheese,food,negative
,Your money could easily be better spent elsewhere (anywhere).,money,anecdotes/miscellaneous,negative
1780,"despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food art,food,conflict
1388,"this place, which is only a few months old, is perhaps queens' biggest secret!",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,but trust me it's so worth it,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The service is quick and friendly.,Service,service,positive
3168,"better than the bagel shop on the corner, but not worth going out of your way for, in my opinion.",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
2754,price and quality of fish alone will keep us from making a return visit.,quality,price,negative
271,these innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,dishes,food,positive
3191,try green curry with vegetables.,green curry with vegetables,food,positive
1231,pick a bagel has the best bagels in the city.,bagels,food,positive
2877,"our teenage kids love it, too.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Fish was over the top.,Fish,food,negative
1576,this place must have cost the owners afortune to build.,cost,anecdotes/miscellaneous,negative
3610,"a great addition to smith street: finally, a place that's not pretentious and filled with women wearing ugg boots.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"As others have said, don't expect the restaurant to make a romantic night out for you, and yes, a busy restaurant might require a wait.",service,service,negative
,They didn't even let me have my glass of wine before offering me another.,glass of wine,service,positive
,nice find.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,great sushi experience.,sushi,food,positive
,My friends talked about it so much for months that I finally took the time to get in my ear and dine.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,I've been to Saphir twice and both times the food was ok if not good.,food,food,positive
1363,this food is asian-air fusion.,food,food,neutral
,The sandwiches are out of this world!,sandwhiches,food,positive
1679,"i went to areo on a sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1131,"wow! how have i missed this one ,tried long tan last week for the first time and now know what the ny times and many more in the neighborhood already knew.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1961,"the table service could have been a little more attentive but as someone who also works in the service industry, i understood they were busy.",service,service,conflict
3278,"the food was not very tasty, the portioins were tiny even for such a high quality restaurant.",portioins,food,negative
,I can only recommend the Sophia Pizza.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,it's a Dream!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The service was attentive and their menu item suggestions were spot on.,menu items,service,positive
,Many other French bistros could get a much better dining experience for the same amount of money.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"great wine, great food.",food,food,positive
2273,"their sushi, kamikaze and other rolls are fresh and well presented.",Rolls,food,positive
,The sushi seemed pretty fresh and was adequately proportioned.,sushi,food,positive
,Here are the fake aquariums too ...,fish tanks,ambience,negative
912,wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,food,positive
,They have the best desserts and mixed drinks as well as snacks.,snack foods,food,positive
,This quaint and romantic trattoria is high on my list of Manhattan restaurants.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"Be careful when they say harshly, they mean business!",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"However, we did notice that some tables had pita instead of naan.",naan,service,negative
803,i will recommend scopa to all of my friends for a place to go for wonderful italian food.,Italian food,food,positive
2948,there was no ambiance.,ambiance,ambience,negative
1879,"it saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",table,anecdotes/miscellaneous,conflict
93,"my friends spoke so much about it for months, i finally made the time to come down ear and dine in.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,katz's has been a nyc original for over 100 years.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3229,i think i've had some the best meals of my life at minnow.,meals,food,positive
1429,sauce was watery and the food didn't have much flavor.,flavor,food,negative
,I am glad to be a regular at this place and highly recommend it to everyone.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
140,i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork.,egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork,food,positive
796,"the food was just ok, at least for what food was available.",food,food,negative
1541,the hot dogs were cold in the middle and the buns were stale.,buns,food,negative
3134,"the people with carts of food don't understand you because they don't speak english, their job is to give you the delicious food you point at.",people with carts of food,food,positive
3679,i loved this place!!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2903,"i've been to sapphire twice and both times the food was fine, if not good.",food,food,positive
2970,would definitely visit again.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,While the food was good (certainly not Il Mulino) the service was terrible.,service,service,negative
,But the pizza is way too expensive.,pizza,price,negative
,Plus they were $ 15 each!,price,price,negative
,The view is spectacular and the food is great.,food,ambience,positive
2598,it is simply amazing.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,ideal for a romantic evening or a fun evening with friends ...,ambience,ambience,positive
,"We have been to this place many times and always have great food, wine and service.",service,service,positive
2664,i am surprised to say the least and find such practice not worth the effort.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,really the mark of an attentive waiter.,waiter,service,positive
,"Good atmosphere, the combination of the hottest dress codes for music is relatively strict, except on Fridays.",dress cod,ambience,positive
3541,they didn't give us the dinner special until we asked for it.,dinner special,service,negative
2121,indoor was very cozy and cute.,Indoor,ambience,positive
2005,everything about this restaurant was special.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3425,we had the scallops as an appetizer and they were delicious and the sauce was wonderful.,sauce,food,positive
,I've been to Nha Trang literally a hundred times for the cubes of beef - they are so good.,beef cubes,food,positive
,"However, the bread and lamb chops I had before dinner were pretty good.",meal,food,positive
169,"i've been to at cafe spice probably 5-8 times, it is probably still the best indian restaurant around union square.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"$ 160 for 2 fillets, 2 sides, a starter and drinks.",drinks,price,neutral
,Skip this place and go to the one in Soho.,anecdotes/miscellaneous,anecdotes/miscellaneous,conflict
2160,they have a huge selection of different cream cheeses and all of their salads are great.,salads,food,positive
,I just don't understand what this is about.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"His wife Tanja, the hostess, completes the calming atmosphere by being wonderfully warm and amiable.",atmosphere,ambience,positive
,The bagel was huge.,bagel,food,positive
,You can't go wrong with this place.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1297,"they're rude at times, and not very friendly.",service,service,negative
,"For me and my family, we would only go here to celebrate an occasion. I prefer smaller, quieter restaurants.",ambience,ambience,neutral
,"At night, but it's hard to hear your own conversation with everyone else fighting for the same luxury - the background music is extensive too.",music,ambience,negative
,My wife and I were in New York celebrating our 30th birthday.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,a must for all dosa lovers.,Dosa,food,positive
917,service was also very good.,Service,service,positive
2435,i really recommend the very simple unda (egg) rolls.,Unda (Egg) rolls,food,positive
1123,"plus, when our entrees were held up in the kitchen on a busy saturday night, the owner sent over complimentary summer rolls to hold us over!",owner,service,positive
826,i really didn't know what to expect for a restaurant that literally overlooks the main hall of grand central.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"- The bread at the beginning is delicious and makes you want more - the pizza is delicious and available in personal sizes. Be warned, however, that Peter's favorite ham and arugula pizza is actually a margarit pizza with cold ham and arugula on top, like a salad.",Peter's Favourite pizza with prosciutto and baby arugula,food,positive
,justified prices.,prices,price,positive
,"The service is friendly if not the fastest in the world, the food is great, and while the prices aren't cheap, it won't put your wallet out of service.",prices,price,conflict
,The restaurant is very small so reservations are a must.,reservations,anecdotes/miscellaneous,neutral
,"No food snobs allowed, this place is for people who appreciate good food.",food,food,positive
1278,the pizza is good though.,pizza,food,positive
1254,the thai ice tea was amazingly smooth and yummy!,Thai ice tea,food,positive
,That was a big surprise.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
913,traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,hall,ambience,conflict
,The hot and sour soup was unbearably hot and tasted only like pepper and nothing else.,pepper,food,negative
,but they do.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
2715,"the steak is good, the fish is good and the sushi was surprisingly great.",sushi,food,positive
1371,the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,tuna,food,negative
,"The only positive thing was the staff, who were quick, knowledgeable and personable.",wait staff,service,positive
,"Advice, save space for pasta dishes and don't leave until you've finished the tiramisu.",tiramisu,food,positive
,Be warned to sit down their evening menu and take away prices vary.,take ou,price,neutral
483,"while there are plenty of places to go for a good corned beef sandwich, katz's has a charm about it.",corned beef sandwich,food,positive
1185,it's a great place to pick up a cheap lunch or dinner.,dinner,price,positive
,The food is ok and the prices here are mediocre.,prices,price,neutral
,"At night, but it's hard to hear your own conversation with everyone else struggling for the same luxury - the background music is extensive too.",music,ambience,negative
2057,i am happy i did the food was awsome.,food,food,positive
,Monday night is a bargain at the $ 28 Prix Fix - this includes a three-course meal plus * three * glasses of wine with each course.,course,price,positive
1625,the only thing the waiters don't do for you is wipe your chin when you leave.,waiters,service,positive
,At the beginning we were told we had to wait 30 minutes and were about to leave when the hostess offered to call us on our cell phone when the table was ready.,table,service,conflict
743,"inside is a little cramped, but to be expected.",ambience,ambience,conflict
696,"i have eaten at saul, many times, the food is always consistently, outrageously good.",food,anecdotes/miscellaneous,neutral
228,we had champagne and caviar and felt like princesses!,caviar,food,positive
,Our tiny table for two (plates hung over the edge) was in the middle of one of the alleys of waiter traffic.,dinner plates,ambience,negative
,"The large selection of bruschettas, paninis and tramezzinis prevents the palate from stagnating.",tramezzinis,food,positive
2798,it helps if you know what to order.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,meal,food,positive
2418,"the bread is the soft paratha bread (unlike the plain bread they use in calcutta), and the stuffing is tandoori styled and very flavorful.",tandoori,food,positive
,"Butter was melted, white wine was warm, cheese oozed everywhere.",cheese,food,negative
1373,do not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,taste,ambience,neutral
3244,"so i've never actually been to m proper, but i've had it delivered a few times.",delivered,anecdotes/miscellaneous,neutral
,"Just because it's cheap doesn't mean the portions are small or the food is nasty, it's great!",food,price,positive
1928,we were very pleasantly surprised.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2488,"on a recent saturday night, i was with a group of 5 at the bread bar.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1050,"not only is the cuisine the best around, the service has always been attentive and charming.",service,service,positive
,This dish is my favorite and I always get it when I go and never get tired of it.,dish,food,positive
,I live a block away and see Patsy a lot.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
3436,the menu is limited but almost all of the dishes are excellent.,dishes,food,conflict
,"I wouldn't have complained at all if the food had at least tasted good, but the quality of the food was shitty too.",quality of food,food,negative
,"Aside from the bearded Courdoroy blazer professor guy with the Nyu student he's sleeping with this week, you see an odd mix of hipsters, frat boys, blacksmiths who need to be told they're black, bitter cougars who aren't understand why they are not already married ...",ambience,ambience,neutral
,We ate at this Thai place according to the reviews but very unhappy with the food.,foods,food,negative
2097,usually 3 vs. 4 items per dish.,dish,food,neutral
1190,you have to increase the service a lot.,service,service,negative
,This is the pinnacle of Indian fast food (all fast foods in my opinion).,Indian Fast Food,food,positive
,"If your favorite Chinese food is general Tao chicken, this is not your place.",Chinese food,food,negative
746,i went to this restaurant with a woman that i met recently.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"The dining room is quiet and elegant, with no music to scream - how refreshing!",music,ambience,positive
3176,"so close, but not good enough.",anecdotes/miscellaneous,anecdotes/miscellaneous,conflict
3364,this is the perfect date spot for williamsburg couples.,date spot,anecdotes/miscellaneous,positive
1803,my sister says it reminds her of a restaurant run by high-school students who don't know what they are doing.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,My family and I ate here last night for our annual Christmas dinner with those family members who prefer to spend the holidays with friends out of town.,Christmas dinner,anecdotes/miscellaneous,neutral
3083,"the wait staff is friendly, and the food has gotten better and better!",food,service,positive
,very good bread too.,breads,food,positive
,Delivery is fast too.,Delivery,service,positive
941,the service was excellent - friendly and attentive.,service,service,positive
3531,my friend's food was also the complete opposite of what it's supposed to taste like (and look like).,food,food,negative
888,no one asked what was wrong as we left with nothing touched on our plates.,plates,service,negative
2595,"the back garden sitting area is very pleasant, where you can see their personal herb garden.",personal herb garden,ambience,positive
,must return to try the chocolate!,chocolate,anecdotes/miscellaneous,neutral
,Taxane yummy!,Taxan,food,positive
3371,even the pasta is delicious here (a rarity in new york pizza restaurants).,pasta,food,positive
,We had the scallops as a starter and they were delicious and the sauce was wonderful.,sauce,food,positive
,"Since there were so many to choose from, we walked up and down the street and looked in the windows and noticed so many vacancies besides the Taj Mahal.",seats,anecdotes/miscellaneous,neutral
,All I had was good and I am an eater.,food,food,positive
,"French fries were delicious, if a little thick.",Frites,food,positive
2568,check it out.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2212,if you want good authentic thai this place is not the place to go.,Thai,food,negative
1433,it is run by the same sichuan chef who started the chain in chinatown.,Sichuan chef,anecdotes/miscellaneous,neutral
,I wish I lived there as I would eat in this place as often as possible!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the batter they make with imported flour makes this pizza one of the better ones in New York.",flour,food,positive
1741,fantastic!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,friendly staff to enjoy your food and the company you are with.,meal,service,positive
,There was no ambience.,ambiance,ambience,negative
,"The bagels are always warm, soft on the inside, crispy on the outside and enormous.",bagels,food,positive
,a One Women Show!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,during happy hour!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,You can barely see who you're with without having a conversation.,ambience,ambience,negative
3275,"again, the waitress was awesome.",waitress,service,positive
,I was told it is open 24 hours which is good.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2487,you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,dishes,price,negative
,very good bread too.,breads,food,positive
,The service isn't consistently excellent - just decent.,service,service,neutral
2199,the best pad thai i've ever had.,pad thai,food,positive
,I go back in line an average of three times before I can no longer walk.,line,anecdotes/miscellaneous,neutral
,I was glad I did.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1488,the sicilian is my favorite it is moist not dry like most places but all their pizza is great!,sicilian,food,positive
,Skip this place and go to the one in Soho.,anecdotes/miscellaneous,anecdotes/miscellaneous,conflict
1155,"that place was awesome,,,  sally !",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
473,i've never been treated so rudely.,service,service,negative
,a big disappointment.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
2380,look i dont know if the people who wrote the reviews have ever been to a decent place (please try someother places).,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,meal,food,positive
,"A large one is $ 20, and the toppings are around $ 3 each.",toppings,price,negative
1995,"alain ducasse is the best of everything, i mean everything was excelent.i",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"This place is well worth a visit, even if only for their beer.",beer,food,positive
,"The tables are way too narrow, the menu is typical of any Italian restaurant and the wine list is simply overpriced.",wine list,price,negative
,Winnie and her staff are the best crew you can find.,serving,service,positive
,My family and I ate here last night for our annual Christmas dinner with family members who prefer to spend the holidays with friends out of town.,Christmas dinner,anecdotes/miscellaneous,neutral
1668,should you happen to be impressed by the cuisine definitely try it.,cuisine,food,positive
268,this is one of my favorite restaurants and it is not to be missed.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"I've been to many Thai restaurants in Manhattan and Toons is by far the best Thai food I've ever had (except my mom's, of course).",Thai food,food,positive
1068,they even scoop it out nice (for those on a diet) not too much not to little.,service,service,positive
1623,the wine list is excellent.,wine list,food,positive
,Nothing beats buying a Snapple for $ 3.25.,snapple,price,positive
227,went with mommy (the only person who could afford taking me here).,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"The best thing is the warm atmosphere, the owner is super friendly and the service is quick.",service,ambience,positive
89,"the service was attentive, yet unimposing, the food was far better than many notorious restaurants in midtown and the wine list is extensive and well priced.",priced,price,positive
2624,i thought this place was totally overrated.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
679,i plan on eating here more often.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The prices are the same.,Prices,price,neutral
3177,we ate at this thai place following the reviews but very unhappy with the foods.,foods,food,negative
2287,best drumsticks over rice and sour spicy soup in town!,sour spicy soup,food,positive
2806,"as a japanese native, i've lived in the tristate area for over 8 years, but i was just so amazed at this place.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3025,i'm sure i'll return for a final judgement tho.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,We actually gave a 10% tip (which we never did despite mediocre food and service) because we felt totally cheated.,tip,price,negative
3250,"they are still living in the dark ages and do not have an answering machine, so if you want to make a reservation you are limited.",reservation,service,negative
1655,"not the greatest sushi place, but excellent for a $19.95 all you can eat.",sushi place,price,positive
,Their exotic salad is basically a delicious little green salad with a peanut sauce that goes perfectly with their sweet basil-fried tofu.,peanut sauce,food,positive
920,the food was good.,food,food,positive
,"I have long been a fan of holy basil in the east village and while I believe the quality of the food has deteriorated slightly, I have hesitated to be disloyal.",quality,food,negative
3636,"we were on our way back to nj, and since i am in ny, we figured why not grab some food?",food,anecdotes/miscellaneous,neutral
590,nicky the nose at the bar is a treat.,bar,service,positive
,"Even so, I thought Scalini Fedeli was one of the best dining experiences I've ever had.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The burger was great too.,burger,food,positive
2786,its a great place for a casual date or to entertain clients for lunch.,lunch,anecdotes/miscellaneous,positive
2107,"i've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1971,the sides were ok and incredibly salty.,sides,food,negative
,Mizu is home to creative and unique rolls that cannot be found anywhere else.,rolls,food,positive
,From the moment we walked in they were more than accommodating even though the place was full.,place,ambience,negative
2457,"and the staff is also young, energeic and hot!!!!",staff,service,positive
,The ambiance is very romantic and definitely a good place to bring a date.,place,ambience,positive
,"The first time the sushi was excellent, the second time it was a little bland.",sushi,food,conflict
1032,"whenever you need a sushi fix, mizu will be there with quality fish and great service.",Sushi fix,service,positive
,The meat dishes were just so-so.,meat dishes,food,neutral
,"Great friendly service, quick seating, quick delivery, excellent sushi.",sushi,service,positive
,and never get lost.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
318,the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,atmosphere,price,positive
2144,hurley's is terrific!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
92,i absolutely loved this place.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1733,decor is charming.,Decor,ambience,positive
2797,it's the only place you can get yummy authentic japanese comfort food.,japanese comfort food,food,positive
1095,the quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,live jazz,ambience,positive
3412,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,staff,ambience,positive
1020,really depends on your luck!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
3401,"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,food,conflict
3480,get it together.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
693,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,ambience,positive
3553,"we did notice however, that some tables had what looked like pita instead of naan.",naan,service,negative
1921,the food and staff always surprise me with the new heights they are taken to.,staff,service,positive
,--eat Club is a roving group of NYC gourmets,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
101,i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).,ambience,ambience,positive
,Keep it up.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,I hate hate hate this place,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,But the staff was so horrible for us.,staff,service,negative
,"Butter was melted, white wine was warm, cheese oozed everywhere.",cheese,food,negative
1998,"i will definetely go back again and again, that's for sure!!!",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1046,it's delicious!,food,food,positive
2934,not what i wanted to hear.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"Bagels are fine, but make sure you don't make special requests!",Bagels,food,neutral
,"ok, for all of us who grew up in the NYC village, we indulged in a variety of restaurants, most of which stay open very late.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1904,"i didn't complain, i liked the atmosphere so much.",atmosphere,ambience,positive
,"If we had stalled I could understand where they are from, but we were there less than an hour and they hadn't even brought us a check!",check,service,negative
,"The service was excellent, the food was excellent, but the overall experience was very cool.",food,service,positive
3641,you cannot go wrong with this place.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2553,after dealing with subpar pizza all over the kensington neighborhood - i've found little toninos.,pizza,anecdotes/miscellaneous,positive
3103,"ask for usha, the nicest bartender in manhattan.",bartender,service,positive
3426,i recommend getting a reservation even though we saw people seated without one.,reservation,anecdotes/miscellaneous,neutral
2909,skip dessert.,dessert,food,negative
1417,i ordered a lassi and asked 4 times for it but never got it.,Lassi,service,negative
,They are fast.,service,service,positive
,Our friendly waiter made great food suggestions and sent both the sommelier and Fromager to the table to suggest different pairings for wine and cheese.,cheese,service,positive
,I have to say that I am pleasantly surprised and most likely will stop by again when I'm in the neighborhood.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,It is open all the time and is aimed at Pakistani taxi drivers on Crosby Street. So there is more income from groceries than expected (i.e. surprisingly fresh).,food,ambience,positive
3023,i've been here twice now.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"The outdoor atmosphere, sitting on the sidewalk and watching the world go by on a cool evening on 6th Avenue 50 feet away, was wonderful.",outdoor atmosphere,ambience,positive
3442,we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.,seated,service,positive
1557,"(or sister, in my case!).",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,We went after a drink.,drink,anecdotes/miscellaneous,neutral
,At first I was a little skeptical because it was a sushi restaurant in the middle of New York.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,The South Indian cuisine is also still there.,Southern Indian cuisine,food,neutral
,We didn't see our waiter for at least 40 minutes after the main course came!,waiter,service,negative
,The servers will give you some sample slices of your order while you wait (I might add shortly).,servers,service,positive
1981,"filled with suits, though, so you never really feel terribly comfortable.",ambience,ambience,negative
1517,"for some reason the place was empty when we got in and remained so for the entire evening, i don't understand why but we had a blast and will definately go back the next time we are in the area.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3519,the prices and ambience are especially great considering it's in the west village.,ambience,price,positive
3429,went here last night and had a pleasant experience.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1099,once for dinner and once for brunch.,brunch,anecdotes/miscellaneous,neutral
,"Wine list isn't huge, but definitely well selected.",Wine list,food,conflict
766,the dim sum however was very good.,dim sum,food,positive
